"DATE","GPU","MARK76","RKFR76","DOW","DUPONT"
7601,0.05412,0.156,0.00369,0.18281,0.24506
7602,-0.01429,0.069,0.00369,0.02307,-0.02698
7603,0.01449,0.01,0.0039,-0.0257,-0.04105
7604,-0.01886,-0.012,0.00383,-0.00116,0.03425
7605,-0.01493,0.005,0.00415,-0.0814,0.00911
7606,0.01515,0.016,0.00431,-0.01772,-0.07692
7607,0.05493,-0.017,0.00416,-0.02591,-0.01254
7608,0.05797,-0.016,0.00389,-0.04255,-0.05626
7609,0.0411,0.007,0.00412,-0.00556,-0.01748
7610,-0.01737,-0.029,0.00386,-0.01966,0.02174
7611,0.00685,0,0.00355,-0.10602,-0.03578
7612,0.06122,0.111,0.00345,0.11859,0.09969
7701,0.02154,0.015,0.00372,-0.11816,-0.04255
7702,-0.05769,-0.012,0.00362,-0.03595,-0.00676
7703,0.02041,0.008,0.00367,0.02712,-0.01179
7704,0.0224,0.004,0.00359,-0.01329,-0.00099
7705,0.04,-0.005,0.00394,-0.05387,-0.04577
7706,0.02564,0.07,0.004,-0.01993,-0.02213
7707,0.02824,-0.002,0.00435,-0.07692,0.02263
7708,0.02659,-0.023,0.00445,-0.01984,-0.04215
7709,0.02424,0.008,0.00476,0.01781,-0.02225
7710,-0.03243,-0.051,0.00473,-0.07229,0.02389
7711,0.04375,0.083,0.0045,-0.06494,0.06444
7712,0,0.039,0.00467,0.00185,0.02229
7801,-0.06874,-0.045,0.00487,-0.04673,-0.11319
7802,0.01974,0.01,0.00494,-0.11765,-0.0726
7803,0.02581,0.05,0.00526,0.05778,0.03453
7804,-0.00931,0.063,0.00491,0.14362,0.15451
7805,-0.03247,0.067,0.00513,-0.04651,0
7806,-0.00671,0.007,0.00527,-0.02732,-0.0303
7807,0.04405,0.071,0.00528,0.07107,0.07813
7808,-0.04636,0.079,0.00607,0.04265,0.03727
7809,0.03472,0.002,0.00645,0.04,0.03024
7810,-0.07651,-0.189,0.00685,-0.07522,-0.06067
7811,0.04478,0.084,0.00719,0.00478,0.05
7812,0,0.015,0.0069,-0.03905,0.02857
7901,0.05429,0.058,0.00761,0.07035,0.06151
7902,-0.05556,0.011,0.00761,-0.04225,-0.0215
7903,-0.04412,0.123,0.00769,0.11176,0.09082
7904,-0.33077,0.026,0.00764,-0.07143,-0.062
7905,-0.17241,0.014,0.00772,-0.01923,-0.03305
7906,0.15714,0.075,0.00715,0.02843,-0.02174
7907,-0.01235,-0.013,0.00728,0.08213,-0.00909
7908,0,0.095,0.00789,0.09375,0.07034
7909,-0.07692,0.039,0.00802,0.07837,-0.02312
7910,-0.08333,-0.097,0.00913,-0.08812,-0.08284
7911,0,0.116,0.00819,0.07563,0.06452
7912,0.07813,0.086,0.00747,0.01641,0.00937
8001,-0.05797,0.124,0.00883,0.06226,0.00929
8002,-0.24615,0.112,0.01073,0.02564,-0.05521
8003,-0.30612,-0.243,0.01181,-0.09571,-0.08882
8004,0.38235,0.08,0.00753,0.04,0.05415
8005,0.06383,0.062,0.0063,0.05385,0.09247
8006,-0.06,0.086,0.00503,-0.00657,0.06349
8007,0.08511,0.065,0.00602,0.0855,0.02687
8008,-0.19608,0.025,0.00731,-0.04452,0.05233
8009,0.02439,0.015,0.0086,-0.00645,0.00838
8010,-0.09524,0.006,0.00895,-0.05109,-0.11911
8011,-0.05263,0.092,0.01137,0.06154,0.07547
8012,0.11111,-0.056,0.00977,-0.0558,0.01205
8101,-0.15,-0.014,0.01092,0.06615,0.08036
8102,0.05882,-0.009,0.01096,0.07664,0.0876
8103,-0.08333,0.067,0.01025,0.04949,0.01538
8104,0.15152,-0.008,0.01084,-0.0915,0.00505
8105,0,0.064,0.01255,-0.07194,-5e-04
8106,0.10526,-0.003,0.01128,0.04109,0.08142
8107,-0.07143,-0.033,0.01154,-0.0566,-0.14353
8108,-0.05128,-0.031,0.01169,-0.12,-0.09396
8109,0.05405,-0.164,0.01054,-0.10182,-0.06154
8110,0.10256,0.062,0.01003,0.06701,0.0623
8111,0.18605,0.069,0.00816,0.00966,0.0142
8112,0.05882,-0.039,0.0074,0.02201,-0.07165
8201,-0.12963,-0.079,0.00949,-0.07619,-0.02685
8202,-0.17021,-0.101,0.00946,-0.10825,0.00276
8203,-0.05128,-0.028,0.01067,0.09595,-0.06643
8204,0.13514,0.041,0.00972,-0.02151,0.05993
8205,-0.04762,0.003,0.00908,-0.05495,-0.02898
8206,-0.025,-0.078,0.00914,-0.01395,-0.02222
8207,0.10256,-0.006,0.00714,-0.0241,-0.08333
8208,0.09302,0.122,0.00503,0.22222,0.17273
8209,-0.02128,0.008,0.00563,-0.06566,-0.01075
8210,0.1087,0.136,0.0062,0.13297,0.11594
8211,-0.01961,0.049,0.00614,0.01942,-0.00714
8212,0.08,0.014,0.00648,0.00286,-0.04651
8301,0.18519,0.065,0.00646,0.11111,0.11498
8302,-0.03125,0.028,0.00599,0.07826,0.015
8303,0,0.043,0.00686,-0.09839,0.04062
8304,0.16129,0.097,0.00652,0.20455,0.12613
8305,0.02778,0.08,0.00649,0,0.04747
8306,-0.01351,0.048,0.00673,0.01736,-0.01546
8307,-0.0411,-0.017,0.00714,0.01128,0.00524
8308,0,-0.034,0.00668,0.10037,0.10625
8309,-0.07143,0,0.00702,-0.00135,-0.0119
8310,-0.07692,-0.082,0.00678,-0.05479,-0.00723
8311,0.06667,0.066,0.00683,-0.05072,0.06214
8312,-0.03125,-0.012,0.00693,0.03282,-0.03704
8401,-0.01613,-0.029,0.00712,-0.05243,-0.04327
8402,0.03279,-0.03,0.00672,-0.11462,-0.03367
8403,0.04762,0.003,0.00763,0.15,0.03958
8404,-0.01515,-0.003,0.00741,0.01969,0.02538
8405,0.07692,-0.058,0.00627,-0.12355,-0.05545
8406,0.02857,0.005,0.00748,0.00264,-0.02926
8407,0.08333,-0.058,0.00771,0.01339,-0.03014
8408,0.02564,0.146,0.00852,0.10132,0.14689
8409,0.0125,0,0.0083,-0.0816,-0.0075
8410,0.08642,-0.035,0.00688,0.02655,-0.05542
8411,0.02273,-0.019,0.00602,-0.00862,0.008
8412,0.02222,-0.001,0.00612,-0.02783,0.06452
8501,0,0.097,0.00606,0.07727,0.04293
8502,0.08696,0.012,0.00586,0.00844,0.03148
8503,-0.04,0.008,0.0065,-0.01423,-0.0119
8504,-0.01042,-0.01,0.00601,0.03448,0.06988
8505,0.17895,0.019,0.00512,0.13333,0.10135
8506,0.00893,-0.003,0.00536,0.06471,-0.03727
8507,-0.06195,0.012,0.00562,0.03147,0.03011
8508,0.08491,0.005,0.00545,-0.02712,-0.02296
8509,-0.04348,-0.055,0.00571,-0.02927,-0.00649
8510,0.14545,0.026,0.00577,0.06182,0.08497
8511,0.03175,0.059,0.0054,0.06507,0.03012
8512,0.04615,0.013,0.00479,0.06624,0.07101
